INSERT INTO Gioco(ID_Gioco, CF_Giocatore, Importo, Vincita , Data_Giocata ,Numero_Scommesso, Colore_Scommesso  ) VALUES 
( "EMB7SMHBOM" ,  TLNYEGIAXYAA8UGJ ,  " " ),
( "64O7PUQY9I" ,  C7UL58WEK5JJS41E ,  " " ),
( "6SNM6LCIKS" ,  MAZRQWOPPVF90F8F ,  " " ),
( "UJ6E2AV08B" ,  DBBSPUL9WIBY3LQZ ,  " " ),
( "OYEYCT9X6H" ,  HT31PM5WFG34N3AI ,  " " ),
( "WD3GQ4TMLY" ,  Q786E7KMJKVEVIYI ,  " " ),
( "IAHFIFJ94T" ,  U02Y8N06OSXBUFVF ,  " " ),
( "W7KFBK7SY8" ,  C09KREM57P264FN1 ,  " " ),
( "AXUCJO3C7N" ,  B5F2LZLGB7VQ1OBR ,  " " ),
( "3VZT380D09" ,  5FM392QUR4F68FWY ,  " " ),
( "ETDAMFBVCZ" ,  N3GX5S0JXKW7IF8D ,  " " ),
( "XGLNJULDO4" ,  8Y1KRMBK47A989WN ,  " " ),
( "KAF67EQZMN" ,  YIE66HFMP9584GRW ,  " " ),
( "O6EACZH93K" ,  2CTKC5MPQVQX5FXB ,  " " ),
( "NBG2GGBH0O" ,  PP5HEGIDDAR9GDNS ,  " " ),
( "UFEYMU1WA6" ,  CL0NI3YFPAIUWH7E ,  " " ),
( "P2TNE21UA7" ,  TIY508X4LNLT390P ,  " " ),
( "NVQEB4VXXH" ,  ONB3RWJW80XI7MMN ,  " " ),
( "SYJSWPRHZX" ,  LIWTH1AHGYDJASYC ,  " " ),
( "YW3PTXWEQ7" ,  ZPCX5NDK45K7HHWC ,  " " ),
( "RB0KK1C4L7" ,  ESJP4TN87CPRKV9K ,  " " ),
( "BDACO0KA0Z" ,  X1R96CV1XQM32H19 ,  " " ),
( "R0WH9ZFG47" ,  QW9SWIHVMD4Y5BX1 ,  " " ),
( "WHFDQNZW4W" ,  U2KFZIP73DJ8A4QS ,  " " ),
( "39OQ3PAPHX" ,  OWLO1ZHKYLS1C1ZD ,  " " ),
( "M4FQ0XUV0Y" ,  NC0YMG8ZOM5URBXG ,  " " ),
( "KEO1UXV5OR" ,  TNTJRY0Y6QVDYJIO ,  " " ),
( "HJ8MZT3X4L" ,  QW9SWIHVMD4Y5BX1 ,  " " ),
( "EDS69E677P" ,  BJM6ESWBJ0FU383G ,  " " ),
( "W2NVX3ZRYX" ,  N92ER6XB5A5L365A ,  " " ),
( "APB2VSZFFM" ,  ONB3RWJW80XI7MMN ,  " " ),
( "0I7XQOUWBR" ,  IQH6X58MJYDXRGJC ,  " " ),
( "FSGP4G9O4F" ,  6YTYRG6IBNSACW8L ,  " " ),
( "9JT1XP2MJB" ,  BX41383KFBDM82QS ,  " " ),
( "GJK64F5FH7" ,  RPRY0NE49Y533BTZ ,  " " ),
( "AN0SHK0ERY" ,  DOG4B14X53R0RSHM ,  " " ),
( "MLD16Z2KUB" ,  4TD9G0KLJ0RWS1F9 ,  " " ),
( "9HQC8YL0W7" ,  JRG8GWMBHHQOSBP8 ,  " " ),
( "KT3ALOO0Y1" ,  P9W504ZVBYZ0GT18 ,  " " ),
( "972I81BSW5" ,  LIWTH1AHGYDJASYC ,  " " ),
( "ESRP59O1UE" ,  POQYEO1ARZT6OHRX ,  " " ),
( "7XLBL7IVUU" ,  J7TF38KWXZ3FLJ7F ,  " " ),
( "20YDULNZM4" ,  NYVXZY3LEARPUT27 ,  " " ),
( "SRFTJ9QSFM" ,  DBBSPUL9WIBY3LQZ ,  " " ),
( "11G5I0JAXR" ,  3LC9MOMBUYMARBUW ,  " " ),
( "QXI64NIXQ0" ,  BBC95UVGIGD5MZUL ,  " " ),
( "38TJNRE5AB" ,  LZ361NAOHRKECFVE ,  " " ),
( "ZE4MKYLFQY" ,  187I5CH7860O9YMZ ,  " " ),
( "FR9HGKKU8W" ,  NQHA869V8POG802X ,  " " ),
( "FVYSQTQJAD" ,  ZDPT2MEEQKXI9ERY ,  " " ),
( "UDHNW16CZ9" ,  PHABFXZOP35B4CI3 ,  " " ),
( "C3S0PXDH18" ,  R3RBJATNUTJ4D55X ,  " " ),
( "0ZQLQO6NTS" ,  FGU7EBGWH2D15VYW ,  " " ),
( "VRFNEIKNAD" ,  0XXXOZ589YS2FKDL ,  " " ),
( "CP2WE95QVJ" ,  T1HWKCMUUEHOHCVX ,  " " ),
( "XJOYZKSQR4" ,  LYPA01TOJ2VWRQMX ,  " " ),
( "HV70YIURD0" ,  3HVC5CB5AT7HWES8 ,  " " ),
( "6KK9MELU1Q" ,  TNTJRY0Y6QVDYJIO ,  " " ),
( "M8MO2RSTN1" ,  OV4OA5XJORGS9RQ6 ,  " " ),
( "PXPJSH6DIP" ,  ZX1LHZDS2GT93DJH ,  " " ),
( "8PQC1Z5YOU" ,  5IE0O6XPB2RNQHUY ,  " " ),
( "CRKG66YK4F" ,  TIY508X4LNLT390P ,  " " ),
( "2R5X8JS8HF" ,  C3DPSJ8LZZN8WGJE ,  " " ),
( "5H427UH4RR" ,  TG51FQBWK0VRCWFE ,  " " ),
( "B4F5OI5078" ,  1C6VH26Y08RWP4F4 ,  " " ),
( "EHV2ZWIIII" ,  1C6VH26Y08RWP4F4 ,  " " ),
( "I1BLZCTA7W" ,  Q7320A3R7A6XK1YT ,  " " ),
( "AIMBND1C42" ,  AWX0E7EA3XIK0WHF ,  " " ),
( "UAARVAK5T8" ,  ATP9ROGPQO08N9DT ,  " " ),
( "41U3HBXGLE" ,  DI2VQMUZLF3B6PWX ,  " " ),
( "6C4YESNPWO" ,  LIWTH1AHGYDJASYC ,  " " ),
( "M99FCHUCYU" ,  Q786E7KMJKVEVIYI ,  " " ),
( "HPMFMAFW04" ,  9SYOWNU9AAVNUG5I ,  " " ),
